31.95, 2022-07-02 17:34:27
31.95, 2022-07-02 17:34:35
31.94, 2022-07-02 17:34:42
31.94, 2022-07-02 17:34:51
31.94, 2022-07-02 17:35:00
31.94, 2022-07-02 17:35:07
31.94, 2022-07-02 17:35:17
31.95, 2022-07-02 17:35:24
31.95, 2022-07-02 17:35:33
31.95, 2022-07-02 17:35:40
31.90, 2022-07-02 17:35:48
31.90, 2022-07-02 17:35:56
31.90, 2022-07-02 17:36:05
31.90, 2022-07-02 17:36:14
31.90, 2022-07-02 17:36:21
31.90, 2022-07-02 17:36:29
31.90, 2022-07-02 17:36:37
31.90, 2022-07-02 17:36:44
31.90, 2022-07-02 17:36:54
31.90, 2022-07-02 17:37:00
31.90, 2022-07-02 17:37:09
31.90, 2022-07-02 17:37:17
31.90, 2022-07-02 17:37:25
31.90, 2022-07-02 17:37:35
31.90, 2022-07-02 17:37:42
31.90, 2022-07-02 17:37:52
31.90, 2022-07-02 17:38:00
31.90, 2022-07-02 17:38:07
31.90, 2022-07-02 17:38:16
31.99, 2022-07-02 17:38:24
31.99, 2022-07-02 17:38:32
31.99, 2022-07-02 17:38:40
31.99, 2022-07-02 17:38:47
31.94, 2022-07-02 17:38:56
31.94, 2022-07-02 17:39:04
31.94, 2022-07-02 17:39:13
31.94, 2022-07-02 17:39:21
31.90, 2022-07-02 17:39:31
31.90, 2022-07-02 17:39:37
31.90, 2022-07-02 17:39:47
31.90, 2022-07-02 17:39:53
31.90, 2022-07-02 17:40:00
31.90, 2022-07-02 17:40:07
31.90, 2022-07-02 17:40:14
31.90, 2022-07-02 17:40:22
31.90, 2022-07-02 17:40:30
31.90, 2022-07-02 17:40:38
31.90, 2022-07-02 17:40:46
31.99, 2022-07-02 17:40:55
31.99, 2022-07-02 17:41:02
31.99, 2022-07-02 17:41:11
31.99, 2022-07-02 17:41:19
31.99, 2022-07-02 17:41:27
32.00, 2022-07-02 17:41:34
32.00, 2022-07-02 17:41:43
32.00, 2022-07-02 17:41:52
32.00, 2022-07-02 17:42:00
31.75, 2022-07-02 17:42:09
32.08, 2022-07-02 17:42:17
32.00, 2022-07-02 17:42:25
32.00, 2022-07-02 17:42:33
32.00, 2022-07-02 17:42:42
32.00, 2022-07-02 17:42:51
32.00, 2022-07-02 17:43:00
32.00, 2022-07-02 17:43:09
32.00, 2022-07-02 17:43:17
32.00, 2022-07-02 17:43:24
32.00, 2022-07-02 17:43:32
32.00, 2022-07-02 17:43:39
32.00, 2022-07-02 17:43:48
32.00, 2022-07-02 17:43:55
32.00, 2022-07-02 17:44:02
32.00, 2022-07-02 17:44:11
32.00, 2022-07-02 17:44:18
32.00, 2022-07-02 17:44:27
31.99, 2022-07-02 17:44:35
31.99, 2022-07-02 17:44:44
31.99, 2022-07-02 17:44:51
31.99, 2022-07-02 17:44:59
31.99, 2022-07-02 17:45:06
32.00, 2022-07-02 17:45:16
31.99, 2022-07-02 17:45:24
31.99, 2022-07-02 17:45:32
31.99, 2022-07-02 17:45:40
31.99, 2022-07-02 17:45:49
31.99, 2022-07-02 17:45:58
32.00, 2022-07-02 17:46:06
32.00, 2022-07-02 17:46:14
32.00, 2022-07-02 17:46:24
31.99, 2022-07-02 17:46:32
31.99, 2022-07-02 17:46:39
31.99, 2022-07-02 17:46:48
31.99, 2022-07-02 17:46:56
31.99, 2022-07-02 17:47:04
32.00, 2022-07-02 17:47:12
32.00, 2022-07-02 17:47:21
32.00, 2022-07-02 17:47:30
32.00, 2022-07-02 17:47:37
32.00, 2022-07-02 17:47:47
32.00, 2022-07-02 17:47:57
32.00, 2022-07-02 17:48:05
32.00, 2022-07-02 17:48:14
32.00, 2022-07-02 17:48:21
32.00, 2022-07-02 17:48:30
32.00, 2022-07-02 17:48:38
32.00, 2022-07-02 17:48:47
32.00, 2022-07-02 17:48:55
32.00, 2022-07-02 17:49:05
